LAr,LBr,BB,BBr
c1c(F)c(F)c(F)c(F)c1(F),c5c(F)c(F)c(F)c(F)c5(F),/N=N\,[H]
c1c(F)cc(F)cc1(F),c5cc(F)ccc5,N()N(),C
c1c(F)cccc1(F),c5c(F)cccc5,C()(),
c1ccc(F)cc1,c5ccc(F)cc5,C(=C()C()),
c1cc(F)ccc1,c4ccc([N+](=O)([O-]))cc4,C()C(),
c1c(F)cccc1,c4cc([N+](=O)([O-]))ccc4,C()C(=C()),
c1c(F)c(F)cc(F)c1(F),F,C(=C())C(),
c1c(F)ccc(F)c1(F),Cl,C(=C())C(=C()),
c1cc(F)cc(F)c1,Br,C()=C(),
c1c(F)c(F)c(C(F)(F)F)c(F)c1(F),c7c(Cl)c(Cl)c(Cl)c(Cl)c7(Cl),C(c1c()cc()cc1)=C(c1ccc()cc1()),
C(c1c(F)c(F)c(F)c(F)c1(F))(c1c(F)c(F)c(F)c(F)c1(F))c1c(F)c(F)c(F)c(F)c1(F),c6ccc(Cl)cc6,C()=C()C(),
c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl),c6ccc(Br)cc6,C()C()C(),
c1c(Cl)cc(Cl)cc1(Cl),[H],C()C()C()C(),
c1c(Cl)cccc1(Cl),C,C1C()C()C()C()C1,
c1c(Cl)c(Cl)ccc1(Cl),CC,C1C()CC()CC1C(),
c1ccc(Cl)cc1,CCN(C)C,C1()C(C2())C()C()C2C1(),
c1cc(Cl)ccc1,CCC,C1()CC()CC()(C12)CC()CC2(),
c1c(Cl)cccc1,C(C)C,C1()CC()CC1(),
c1c(Cl)c(Cl)cc(Cl)c1(Cl),CCCC,C1()C()C()C1(),
c1cc(Cl)cc(Cl)c1,C(C)CC,C1()C()C1(),
c1c(F)c(F)c(Cl)c(F)c1(F),C(C)(C)C,c1c()c()c()c()c1,
c1c(F)c(Cl)c(F)c(Cl)c1(F),CCCCC,c1c()cc()cc1C(),
c1c(Cl)c(F)c(Cl)c(F)c1(Cl),CC(C)(C)(C),c1c()cc()cc1C()C(),
c1c(F)cc(Cl)cc1(F),C=C,c1c()cc()cc1N=C(),
c1c(Cl)cc(F)cc1(Cl),C=CC(C)C,c1c()cc()cc1C=C(),
c1cc(F)cc(Cl)c1,C=CC(C)(C)C,c1c()cc()cc1c2cc()cc()c2,
c1c(Br)c(Br)c(Br)c(Br)c1(Br),C=CCCCC,c1c()cc2cc()ccc2c1c3c4ccc()cc4cc()c3,
c1c(Br)cc(Br)cc1(Br),C=CN(C)C,c1c()cc(c23)c()c()c2cc()c(c13),
c1c(Br)cccc1(Br),C=C(C(=O)CC),C()Cc1cc()c2cc()ccc2c1c3c4ccc()cc4c()cc3CC(),
c1ccc(Br)cc1,C=C(C(=O)([N+](=O)([O-]))),c1c()cc()c(c14)c(c23)ccc()c2c()ccc3c(c45)c()cc()c5,
c1c(Br)c(Br)cc(Br)c1(Br),C9CCCCC9,c1c()cc()c(c12)Oc(c23)c()cc()c3,
c1cc(Br)cc(Br)c1,C9CCCC9,c1c()cc()c(c12)Sc(c23)c()cc()c3,
c1ccc([N+](=O)([O-]))cc1,c4ccccc4,c1c()cc()c(c12)Nc(c23)c()cc()c3,
c1cc([N+](=O)([O-]))ccc1,c4ccc(c2ccc(s2)c3ccccc3)cc4,c1c()cc()c(c12)C()c(c23)c()cc()c3,
c1c([N+](=O)([O-]))cccc1,c4ccc(c2ccccc2)cc4,c1c()cc()c(c12)C(=O)c(c23)c()cc()c3,
C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1,c4ccc(c2ccc(C(=O)[OH])cc2)cc4,c1c()cc()c(c12)c()cc()c2,
C(c1c(F)c(F)c(F)c(F)c1(F))=CCC,c6ccc(OC)cc6,c3c1c()cc()cc1ccc2cc()cc()c2c3,
C(c1c(F)c(F)c(F)c(F)c1(F))=C(CC)c1ccccc1,c3ccc(N(C)C)cc3,c2c()cc()c(c23)ccc(c13)c()cc()c1,
C(F)(F)F,c3cc(N(C)C)ccc3,c2c()cc()c(c23)cc()c()cc(c13)c()cc()c1,
C(F)(F)C(F)(F)F,c3c(N(C)C)cccc3,c2c()cc()c(c23)c4c()ccc()c4c(c13)ccc()c1,
C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,[Si](C)(C)C,C4()C1c2c()ccc()c2C(c3ccccc13)C4(),
c1c(C(F)(F)F)cc(C(F)(F)F)cc1(C(F)(F)F),c4c(C)c(C)c(C)c(C)c4(C),*C1C()C()C()C,
c1cc(C(F)(F)F)cc(C(F)(F)F)c1,c3ccc(C)cc3,*C()C1C()CCC(),
F,c7c(C)cc(C)cc7(C),*C1C()N()CC(),
Cl,c4c(C)cccc4(C),*C1C()C()C(),
Br,c7cc2ccccc2cc7,*C1C()Cc2cc()cc()c2,
OC,C1C(C2)CCC2C1,*C()C1C()()C()c2cc()cc()c2,
[H],C2=CC(C3)CCC23,*C1C()c2cc()cc()c2,
C,*CCCCCCC1,*C1N()C=C(),
CC,*CCCCCC1,*C1C()N=N,
CCC,*CCCCC1,*C1N2C()COC2=C(),
CC(c1c(F)c(F)c(F)c(F)c1(F)),*CCC2(OCCO2)CC1,*C2N=C()C(C12)=C()C,
CCc1ccccc1,*CCC2(SCCS2)CC1,*N1C()C()C(),
C(C)(C)C,*CCCC1,*N1C()C()C()C(),
CC(C)(C)C,*COCC1,*N1C()C()OC(),
C1CCCCC1,*CSCC1,@C1C()CC()C2C()CCC(),
C1CCCC1,*CCC1,@C1C()CC()C2C()C(),
C=C,*CC1,@C1C()CC2()CC()CC(),
C=CC(C)C,*CCNCC1,@c1c()cc2cc()cc(),
C=CC(C)(C)C,*CCN(c6ccccc6)CC1,*c1c(),
C=CCCCC,*CCOCC1,*c1c()cc(),
C=C(c1ccccc1),*C(C(=O)[OH])C1,*c1c()c2cc()cc()c2,
C=C(C(=O)),*C(C(=O)[OH])CC1,*c1c()c2cc()cnc2,
C=C(C(=O)CC),*C(C(=O)[OH])CCC1,*c1c2c()ccc()c2c(),
C=C(C(=O)OC),*C(C(=O)[OH])CCCC1,*c1c2c()cnc()c2c(),
C=C(C(=O)C(F)(F)F),*C(C(=O)[OH])CSC1(C)(C),*C()c1c()cc(),
C=C(C(=O)([N+](=O)([O-]))),*C(C(=O)[OH])Cc2ccccc21,*C()Cc1c()cc(),
C=C(C(=O)[Cl]),*C(C)(C)CCCC1(C)(C),*c1c()nc(),
C#C,*C(C)(C)CCc2ccccc12,*c1c()c(=O)c()c(),
C#C(c1ccccc1),*cccc1,*C()c1c()c(=O)cc(),
C#N,*nccc1,*c1c()nn,
c1ccccc1,*cncc1,@$c1c()c()cc(),
c1ccc(N(C)C)cc1,*ncnc1,@$c1c()c()nc(),
c1c(N(C)C)cccc1(N(C)C),*c2ncccc2cc1,@$Cc1c()c()cc(),
c1ccc(OC)cc1,*c2ccccc2cc1,@$Oc1c()c()cc(),
c1c(OC)cccc1,*ccc(=O)cc1,@$Nc1c()c()n(),
c1c(OC)cccc1(OC),*C2CCC1(CC2),@$c1c()c()n(),
c1c(C)c(C)c(C)c(C)c1(C),*CCCN2CCCNC12,@$c1c()n()n,
c1c(C)cc(C)cc1(C),*CCCN2CCCCCC12,@$c1c()N()c(),
c1ccc(C)cc1,,@$c1c()Sc(),
c1c(C)cccc1(C),,@$c1c()Oc(),
c7ccc(c6ccccc6)cc7,,@$c1nc()s,
c1ccc(C)o1,,@$c1nc()o,
c1ccc(C)s1,,@$c1snc(),
*C2CCC1CCC2,,@$c1onc(),
*cccccc1,,@$C1N=C()N=,
*cc(c2ccccc2)ccc(c3ccccc3)c1,,@$N1c()c()c(),
*ccocc1,,@$N1c()c()n,
*ccscc1,,@$N1c()nc(),
*OCCCO1,,@$n1c()cc(=O)c(),
*Oc2ccccc2O1,,@$c2c()ccc()c2c1c()ccc(),
*OccO1,,@$c3c()cc()c(c23)ccc(c12)c()cc(),
*Sc2ccccc2S1,,*c3c()cc()c(c23)ccc(c12)c()c(),
*N(c2ccccc2)C(C)=C(C)N1(c3ccccc3),,@$c2c()cc()nc2c1cc()cc(),
*N(c6c(F)c(F)c(F)c(F)c6(F))C(C)=C(C)N1(c5c(F)c(F)c(F)c(F)c5(F)),,@$c4c()ccc(c34)c()cc(c23)cc()c(c12)ccc(),
*C([Si](C)(C)C)=C1([Si](C)(C)C),,*N2C()CCN(CCC1())C2=,
*cc1,,*N2C()CCP(CCC1())C2=,
*N(C)CCN1(C),,*N2C()CCP(CCC1())C2,
*c2ccccc2c3ccccc31,,N2C()CCN(CCC1())C2C1,
,,*N2C()CN(CC1())C2=,
,,*C2C()CCN(CCC1())C2=,
,,*N2C()CCC(CCC1())C2=,
,,*N2C()CN(CCC1())C2=,
